Course,Course Title,Class Section Availability,Course Start/End Date,Credits,Schedule,Instructor,Class Type,Delivery Method,Course Attribute,Class Comments,Avail Seats:,Course Schedule
FYE101,First Year Experience,21 BUS,8/18/2025 to 12/3/2025,1,MW 3:30PM - 4:20PM,"Lambert,Blake",,On Campus,NA,11/14/2025,4 of 24,Click for Details
PAS643,Behavioral & Mental Health Care Clinical Experience,2,9/22/2025 to 10/31/2025,4,No scheduled meetings,"Mix,Cheressa",,Off Campus,NA,"October 23, 2025
Callback dates 10/30/2025 &10/31/2025, Health/Nursing requirements needed, May require identity verification fees, May require housing, Times may vary by site, Transportation needed",4 of 5,Click for Details
PHA645,Elective Clinical Experience,1,8/18/2025 to 9/19/2025,4,No scheduled meetings,"Kavanagh,Kimberly",,Off Campus,NA,"September 12, 2025
Callback dates 9/18/2025 & 9/19/2025, Health/Nursing requirements needed, May require identity verification fees, May require housing, Times may vary by site, Transportation needed",4 of 5,Click for Details
MTH005,Elementary Algebra I,5,8/18/2025 to 12/4/2025,3,MW 8:30AM - 9:20AM...,"Lambert,Lisa",,On Campus,NA,W/D 11/14/2025,0 of 23,Click for Details
CIT444##,Game & Simulation Seminar,21,8/18/2025 to 12/1/2025,1,M 1:00PM - 1:50PM,"McNett,Alicia",,On Campus,Fall Only,11/14/2025,5 of 15,Click for Details
HTH497,Senior Capstone,90,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Evans,Tina",,Distance Learning,NA,"W/D 11/14/25  
Times to be arranged. May require identity verification fees. 100% of instruction via distance.",10 of 15,Click for Details
ENL111,English Composition I,12,8/18/2025 to 12/3/2025,3,MW 8:00AM - 9:15AM,"Nagy,Eric",,On Campus,ENL111 Summer Discount,W/D 11/14/2025,0 of 20,Click for Details
WEL100,Introduction to Welding Processes,42,8/21/2025 to 12/4/2025,3,R 5:00PM - 5:50PM...,"Mertz,Michael",,On Campus,NA,withdrawal date 11/14/25,0 of 15,Click for Details
SEM305,Sport Management,21,8/18/2025 to 12/3/2025,3,MW 2:00PM - 3:15PM,"Baumgardner,Gerald",,On Campus,NA,W/D 11/14/2025,15 of 20,Click for Details
NUR270L##,Childbearing Nursing Lab,70,8/23/2025 to 9/27/2025,0,S 6:30AM - 3:15PM,"Account,Test",,Off Campus,NA,"9/17/2025
Requires Associated Class NUR270-90	
Restricted to NL/NLD major
Health/nursing requirements needed
See clinical grid for details
Times may vary by site
Transportation needed
Additional times to be arranged",0 of 6,Click for Details
RAD225,Radiography Practicum III,1,8/19/2025 to 12/4/2025,1,TR 8:00AM - 3:45PM,"Johnson,Kristina",,Off Campus,Fall Only,"11/14/2025
Clinic times vary by site, to include days and occasional nights & weekends.
Transportation needed.",1 of 9,Click for Details
FYE101,First Year Experience,28 ET,8/18/2025 to 12/3/2025,1,MW 2:00PM - 2:50PM,"Fagnano,Kristine",,On Campus,NA,11/14/2025,5 of 24,Click for Details
FYE101,First Year Experience,29 ET,8/18/2025 to 12/3/2025,1,MW 1:00PM - 1:50PM,"Zhou,Juan",,On Campus,NA,11/14/2025,6 of 24,Click for Details
MGT497,Business Policy & Strategy,41,8/19/2025 to 12/4/2025,3,TR 5:00PM - 6:15PM,"Nededog,Jose",,On Campus,NA,W/D 11/14/2025,10 of 15,Click for Details
BBT495,Senior Seminar - Lecture,22,8/19/2025 to 12/2/2025,1,T 2:30PM - 3:20PM,"Zimmerman,Craig",,On Campus,Fall Only,11/14/2025,0 of 14,Click for Details
EET401,Digital Signal Processing Lab,21,8/19/2025 to 12/4/2025,1,TR 2:00PM - 3:15PM,"Fedor,Christopher",,On Campus,Fall Only,11/14/2025,6 of 14,Click for Details
NUR306L##,Adult Health Nursing I Lab,21,8/18/2025 to 11/10/2025,0,M 2:30PM - 10:15PM,"Account,Test",,Off Campus,NA,"10/15/2025
Requires Associated Class NUR306-01	
Restricted to BGN major
Health/nursing requirements needed
See clinical grid for details
Times may vary by site
Transportation needed
Additional times to be arranged",0 of 9,Click for Details
HRT102,Horticulture Equipment Operation & Safety,2,8/19/2025 to 12/2/2025,1,T 8:00AM - 10:45AM,"Dincher,Michael",,On Campus,Fall Only,WD 11/14/2025,8 of 14,Click for Details
MTH108,Elementary Algebra II,1,8/18/2025 to 12/4/2025,3,M 8:00AM - 8:50AM...,"Buck,Jennifer",,On Campus,NA,W/D 11/14/2025,0 of 22,Click for Details
FYE101,First Year Experience,23 ET,8/18/2025 to 12/3/2025,1,MW 2:00PM - 2:50PM,"Williams,Jordan",,On Campus,NA,11/14/2025,0 of 24,Click for Details
MTH113,Business Mathematics,1,8/18/2025 to 12/3/2025,3,MW 9:30AM - 10:45AM,"Schwanger,Tiffany",,On Campus,NA,W/D 11/14/2025,5 of 24,Click for Details
MTH240,Calculus I,41,8/19/2025 to 12/4/2025,4,TR 5:00PM - 6:45PM,"Shahrtash,Hossein",,On Campus,NA,W/D 11/14/2025,0 of 20,Click for Details
CSC124,"Information, Technology & Society",43,8/19/2025 to 12/4/2025,3,TR 6:30PM - 7:45PM,"Lehman,Nathan",,On Campus,NA,11/14/2025,1 of 24,Click for Details
BCM319,Construction Structural Analysis & Design,1,8/18/2025 to 12/3/2025,3,MW 10:30AM - 12:45PM,"Martin,Bradley",,On Campus,NA,11/14/2025,0 of 20,Click for Details
PPT497,Polymer Engineering Technology Senior Project,21,8/22/2025 to 12/5/2025,3,F 1:00PM - 2:15PM,"Barilla,Adam",,On Campus,Fall Only,withdrawal date 11/14/25,5 of 5,Click for Details
BCT234,Masonry Principles,2,8/19/2025 to 12/4/2025,5,TR 10:00AM - 10:50AM...,"Bierly,Scott",,On Campus,NA,11/14/2025,2 of 18,Click for Details
AMT243,Automotive Chassis & Wheel Service,1,8/18/2025 to 10/9/2025,6,MTW 8:00AM - 9:45AM...,"Showan,David",,On Campus,NA,9/30/2025,5 of 16,Click for Details
AMT112,Brake Systems,4,10/13/2025 to 11/7/2025,3,MTWR 8:00AM - 9:45AM...,"Pruden,Eric",,On Campus,NA,11/3/2025,0 of 17,Click for Details
CIM227,Material Handling/Fluid Power,2,8/19/2025 to 12/4/2025,3,TR 8:00AM - 8:50AM...,"Schaefer,Bryan",,On Campus,NA,11/14/2025,5 of 12,Click for Details
FYE101,First Year Experience,12 HSEM,8/19/2025 to 12/4/2025,1,TR 11:00AM - 11:50AM,"Schlosser,William",,On Campus,NA,11/14/2025,3 of 24,Click for Details
PHS103,Physics Survey,91,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Keebaugh,Christof",,Distance Learning,NA,W/D 11/14/2025,0 of 22,Click for Details
ELT111,Direct Current Fundamentals,3,8/18/2025 to 12/3/2025,5,MW 9:00AM - 10:45AM...,"Yokitis,Kevin",,On Campus,NA,11/14/2025,1 of 15,Click for Details
HRT208,Containerized Plant Production,1,8/21/2025 to 12/4/2025,3,R 11:00AM - 12:45PM...,"Shelinski,Justin",,On Campus,Fall Only,WD 11/14/2025,4 of 15,Click for Details
PHA472,Concepts in Physician Assistant Practice,1,8/20/2025 to 12/3/2025,2,W 1:00PM - 2:45PM,"Kavanagh,Kimberly",,On Campus,Fall Only,11/14/2025,29 of 30,Click for Details
HIS116,World History I,91,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Wahl,Jennifer",,Distance Learning,Fall Only,W/D 11/14/2025,0 of 25,Click for Details
FOR113,Forest Mensuration,2,8/19/2025 to 12/4/2025,3,TR 8:00AM - 8:50AM...,"Easton,Eric",,On Campus,Fall Only,W/D 11/14/25,14 of 17,Click for Details
WEL209,Advanced Semi-Automatic Processes,1,8/18/2025 to 10/9/2025,4,MW 7:00AM - 7:50AM...,"Good,Ryan",,On Campus,Fall Only,withdraw date 9/30/2025,-1 of 15,Click for Details
NUR232L##,Fundamentals of Nursing Lab,3,8/22/2025 to 12/5/2025,0,F 6:30AM - 12:15PM...,"Account,Test",,Off Campus,NA,"11/14/25
Requires Associated Class NUR232-01	
Restricted to BGN major
Health/nursing requirements needed
See clinical grid for details
Times may vary by site
Transportation needed
Additional times to be arranged",0 of 8,Click for Details
AMT109,Automotive Electrical Fundamentals,5,10/13/2025 to 11/7/2025,3,MTWR 8:00AM - 9:45AM...,"Young,Harrison",,On Campus,NA,11/3/2025,7 of 16,Click for Details
DSM122L##,Hydraulics II Lab,1,8/18/2025 to 12/3/2025,0,MW 3:00PM - 5:45PM,"King,Andrew",,On Campus,NA,11/14/2025,0 of 20,Click for Details
DSM122L##,Hydraulics II Lab,2,8/19/2025 to 12/4/2025,0,TR 6:00PM - 8:45PM,"King,Andrew",,On Campus,NA,11/14/2025,8 of 20,Click for Details
PHO210,Fine-Art Photography,1,8/22/2025 to 12/5/2025,3,F 10:00AM - 2:45PM,"Wilson,Mark",,On Campus,NA,W/D 11/12/2025,5 of 15,Click for Details
CST110,Concrete Tools & Materials,90,8/18/2025 to 12/12/2025,2,No scheduled meetings,"Dibucci,Joseph",,Distance Learning,NA,11/14/2025,0 of 18,Click for Details
HIS126,World History II,98,8/19/2025 to 12/4/2025,3,TR 12:00PM - 12:50PM,"Chappo,John",,Hybrid,NA,"W/D 11/14/2025
67% in-person, 33% distance",8 of 25,Click for Details
PHA646,Women's Health Clinical Experience,3,11/3/2025 to 12/12/2025,4,No scheduled meetings,"Mix,Cheressa",,Off Campus,NA,"December 4, 2025
Callback dates 12/11/2025 &12/12/2025, Health/Nursing requirements needed, May require identity verification fees, May require housing, Times may vary by site, Transportation needed",4 of 5,Click for Details
FIT205,Coping with Stress,90,8/18/2025 to 12/12/2025,2,No scheduled meetings,"Arrigonie,John",,Distance Learning,NA,"W/D 11/14/25 
Times to be arranged. May require identity verification fees. 100% of instruction via distance.",0 of 22,Click for Details
PHS103,Physics Survey,1,8/19/2025 to 12/4/2025,3,TR 11:00AM - 12:15PM,"Richards,David",,On Campus,NA,W/D 11/14/2025,0 of 22,Click for Details
FIT140,Wellness for the Working Professional,1,8/18/2025 to 12/3/2025,1,MW 10:00AM - 10:50AM,"Miller,Emily",,On Campus,NA,W/D 11/14/25,18 of 18,Click for Details
WEL216,Advanced Shielded Metal Arc Welding,22,10/13/2025 to 12/11/2025,4,MW 12:00PM - 12:50PM...,"Biddle,Aaron",,On Campus,Fall Only,withdraw date 12/2/2025,2 of 15,Click for Details
ENL201,Technical & Professional Communication,3,8/18/2025 to 12/5/2025,3,MWF 10:00AM - 10:50AM,"Morris,Debra",,On Campus,NA,W/D 11/14/2025,9 of 24,Click for Details
MTH005,Elementary Algebra I,2,8/18/2025 to 12/4/2025,3,MW 11:00AM - 11:50AM...,"Lingafelt,Felicia",,On Campus,NA,W/D 11/14/2025,6 of 22,Click for Details
NUR232L##,Fundamentals of Nursing Lab,4,8/22/2025 to 12/5/2025,0,F 6:30AM - 12:15PM...,"Account,Test",,Off Campus,NA,"11/14/25
Restricted to BGN major
Health/nursing requirements needed
See clinical grid for details
Times may vary by site
Transportation needed
Additional times to be arranged",0 of 7,Click for Details
BCT110,Site Preparation & Layout,1,8/18/2025 to 12/3/2025,2,MW 11:30AM - 12:20PM...,"Hintz,Harry",,On Campus,NA,11/14/2025,11 of 18,Click for Details
DSM117,Introduction to Hydraulics,1,8/21/2025 to 12/4/2025,1,R 3:00PM - 3:50PM,"Fry,Jeremy",,On Campus,NA,WD 11/14/2025,21 of 22,Click for Details
ACH135,Architectural Computer-Aided Drafting,3,8/19/2025 to 12/4/2025,3,TR 9:00AM - 11:15AM,"Saka,Tuna",,On Campus,Fall Only,11/14/2025,0 of 15,Click for Details
DSM160,Fundamentals of Powertrain Technology,1,8/18/2025 to 12/3/2025,4,MW 8:00AM - 9:45AM,"Weaver,Christopher",,On Campus,NA,WD 11/14/2025,0 of 22,Click for Details
RAD220L##,Radiographic Anatomy & Positioning III Lab,1,8/18/2025 to 12/1/2025,0,M 10:00AM - 11:15AM,"Cao,Qiang",,On Campus,NA,11/14/2025,0 of 8,Click for Details
INV201,Principles of Innovation,91,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Baumgardner,Gerald",,Distance Learning,NA,W/D 11/14/2025,1 of 20,Click for Details
FHD214,Professional Bakery Production,21,10/13/2025 to 12/10/2025,3,MW 1:00PM - 1:50PM...,"Keeley,Todd",,On Campus,NA,W/D 12/02/2025,10 of 16,Click for Details
WEL133,Flux Cored Arc Welding,21,8/18/2025 to 10/9/2025,4,MW 12:00PM - 3:45PM...,"Joy,Anthony",,On Campus,Fall Only,withdraw date 9/30/25,0 of 15,Click for Details
BEM311,Technological Elements of Emergency Management,90,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Schlosser,William",,Distance Learning,Fall Only,W/D 11/14/2025,8 of 10,Click for Details
BCT109,Framing Principles,1,8/19/2025 to 12/4/2025,4,TR 8:00AM - 8:50AM...,"Graff,Garret",,On Campus,NA,11/14/2025,2 of 18,Click for Details
BIO111L##,Basic Botany Lab,1,8/18/2025 to 12/1/2025,0,M 2:00PM - 4:45PM,"Dincher,Michael",,On Campus,NA,"W/D 11/14/25
Need BIO111 and BIO111L together",14 of 15,Click for Details
PAS575,Human Cadaver Anatomy,1,8/19/2025 to 12/4/2025,4,TR 1:00PM - 3:45PM,"Porter,Michael; Sedor, Melissa",,On Campus,Fall Only,11/14/2025,5 of 30,Click for Details
ENL111,English Composition I,14,8/19/2025 to 12/4/2025,3,TR 9:30AM - 10:45AM,"Stubbs,Lisa",,On Campus,ENL111 Summer Discount,W/D 11/14/2025,0 of 23,Click for Details
ELT111,Direct Current Fundamentals,2,8/19/2025 to 12/4/2025,5,TR 8:00AM - 9:45AM...,"Hart,Jon",,On Campus,NA,11/14/2025,0 of 15,Click for Details
ART135,Art History: 16th through 20th Centuries,91,8/18/2025 to 12/13/2025,3,No scheduled meetings,"Wilson,Mark",,Distance Learning,NA,W/D 11/14/2025,0 of 25,Click for Details
CIT240,Introduction to UNIX/Linux,23,8/19/2025 to 12/4/2025,3,TR 12:30PM - 1:45PM,"Account,Test",,On Campus,NA,11/14/2025,13 of 22,Click for Details
DEN109,Orofacial Anatomy,1,8/21/2025 to 12/4/2025,3,R 8:00AM - 10:45AM,"Saxe,Mary Jo",,On Campus,Fall Only,11/14/2025,40 of 40,Click for Details
FOR243,An Introduction to GIS/GPS,1,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Easton,Eric",,Hybrid,Fall Only,11/14/2025,0 of 1,Click for Details
ACR253,Advanced Controls for HVAC,1,8/18/2025 to 12/3/2025,4,MW 8:00AM - 8:50AM...,"Copp,Jacob",,On Campus,NA,11/14/2025,-1 of 18,Click for Details
DSG325,Design for Manufacturability,1,8/18/2025 to 12/3/2025,3,MW 8:00AM - 10:15AM,"Krawiec,Catherine",,On Campus,Fall Only,11/14/2025,3 of 18,Click for Details
FIN350,Finance,1,8/20/2025 to 12/5/2025,3,WF 12:30PM - 1:45PM,"Fletcher,Roy",,On Campus,NA,W/D 11/14/2025,13 of 20,Click for Details
PLH113,Mechanical Systems Design & Operation,4,8/18/2025 to 12/5/2025,4,MW 12:00PM - 12:50PM...,"Swain,Nathan",,On Campus,NA,11/14/2025,1 of 13,Click for Details
AMT266,Engine Repair,3,8/18/2025 to 10/10/2025,4,MTWR 8:00AM - 9:15AM...,"Tavani,Joseph",,On Campus,NA,9/30/2025,2 of 16,Click for Details
MTH123,Technical Algebra & Trigonometry I,4,8/19/2025 to 12/4/2025,3,TR 8:00AM - 9:45AM,"Mitchell,Robert",,On Campus,NA,W/D 11/14/2025,7 of 22,Click for Details
NUR340L##,Pediatric Nursing Lab,3,8/20/2025 to 11/5/2025,0,W 6:30AM - 2:15PM,"Account,Test",,Off Campus,NA,"10/15/2025
Requires Associated Class NUR340-01	
Restricted to BGN major
Health/nursing requirements needed
See clinical grid for details
Times may vary by site
Transportation needed
Additional times to be arranged",2 of 10,Click for Details
ACC341,Intermediate Accounting I,21,8/18/2025 to 12/3/2025,3,MW 3:30PM - 4:45PM,"Pacenta,JoAnn",,On Campus,Fall Only,W/D 11/14/2025,5 of 15,Click for Details
PHS115,College Physics I,21,8/18/2025 to 12/5/2025,4,T 9:30AM - 12:15PM...,"Hurst,Travis",,On Campus,NA,W/D 11/14/2025,11 of 20,Click for Details
PHS103,Physics Survey,42,8/18/2025 to 12/3/2025,3,MW 6:30PM - 7:45PM,"Herr,Ronald",,On Campus,NA,W/D 11/14/2025,0 of 23,Click for Details
BCT259,Trim & Millwork,4,8/19/2025 to 12/4/2025,5,TR 10:00AM - 10:50AM...,"Jones,Clifford",,On Campus,NA,11/14/2025,5 of 18,Click for Details
NUR431,Adult Health Nursing III,21,8/18/2025 to 12/1/2025,7,MR 12:00PM - 1:15PM...,"Account,Test",,On Campus,NA,"11/14/25
Restricted to BGN Major 
Requires Associated Class NUR 431L
Webcam required for exam proctoring
May require identity verification fees",0 of 20,Click for Details
PAS644,Surgery Clinical Experience,2,9/22/2025 to 10/31/2025,4,No scheduled meetings,"Sedor,Melissa",,Off Campus,NA,"October 23, 2025
Callback dates 10/30/2025 &10/31/2025, Health/Nursing requirements needed, May require identity verification fees, May require housing, Times may vary by site, Transportation needed",1 of 5,Click for Details
CIM102,Introduction to CAD/CAM,21,8/18/2025 to 12/3/2025,3,MW 1:00PM - 3:15PM,"Davies,Luke",,On Campus,NA,11/14/2025,13 of 22,Click for Details
IAS413,Contingency Planning,21,8/18/2025 to 12/3/2025,3,MW 12:30PM - 1:45PM,"Yoas,Daniel",,On Campus,NA,11/14/2025,1 of 14,Click for Details
PTA230L##,Clinical Neurology Lab,21,8/20/2025 to 12/3/2025,0,W 1:00PM - 3:45PM,"Breon,Autumn",,On Campus,NA,11/14/2025,0 of 5,Click for Details
BCT342,Contemporary Issues in Residential Construction,1,8/19/2025 to 12/4/2025,2,TR 9:30AM - 10:20AM,"Jones,Robert",,On Campus,NA,11/14/2025,6 of 18,Click for Details
FHD118,Sanitation,41,8/21/2025 to 10/9/2025,1,R 6:30PM - 8:15PM,"Keeley,Todd",,On Campus,NA,W/D 9/30/2025,-1 of 24,Click for Details
WEL216,Advanced Shielded Metal Arc Welding,1,10/13/2025 to 12/11/2025,4,MW 7:00AM - 7:50AM...,"Colton,James",,On Campus,Fall Only,withdraw date 12/2/2025,-1 of 15,Click for Details
ACR152,Fundamentals of HVAC Electrical Controls,1,8/18/2025 to 12/3/2025,4,MW 1:00PM - 1:50PM...,"Copp,Jacob",,On Campus,NA,11/14/2025,1 of 18,Click for Details
MTH153,Topics in Mathematics,21,8/19/2025 to 12/4/2025,3,TR 12:30PM - 1:45PM,"Shahrtash,Hossein",,On Campus,NA,W/D 11/14/2025,12 of 24,Click for Details
BCT103,Construction Hand & Power Tools,1,8/20/2025 to 12/3/2025,1,W 8:00AM - 8:50AM...,"Francis,Matthew",,On Campus,NA,11/14/2025,-1 of 18,Click for Details
MTH123,Technical Algebra & Trigonometry I,98,8/18/2025 to 12/1/2025,3,M 3:30PM - 4:20PM,"Henry,LeAnn",,Hybrid,NA,"W/D 11/14/2025
50% in-person/50% distance",11 of 22,Click for Details
WEL216,Advanced Shielded Metal Arc Welding,3,10/13/2025 to 12/11/2025,4,MW 7:00AM - 10:45AM...,"Turnbach,Timothy",,On Campus,Fall Only,withdraw date 12/2/2025,0 of 15,Click for Details
MKT310,International Marketing,90,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Moff,Steven",,Distance Learning,Fall Only,W/D 11/14/2025,14 of 20,Click for Details
FOR236,Silviculture,21,8/18/2025 to 12/3/2025,3,MW 2:00PM - 2:50PM...,"Bartron,Dustin",,On Campus,Fall Only,WD 11/14/25,9 of 34,Click for Details
PPT118,Polymer Processing Survey - Lecture,21,8/18/2025 to 12/3/2025,3,MWF 12:00PM - 12:50PM,"Perez,Jose",,On Campus,Fall Only,withdrawal date 11/14/2025,20 of 24,Click for Details
AMT100,Introduction to Automotive Technology,4,8/18/2025 to 9/12/2025,3,MTWR 8:00AM - 9:45AM...,"Trapani,Christopher",,On Campus,NA,9/8/2025,0 of 17,Click for Details
HRM346,Organizational Training and Development,98,8/20/2025 to 12/3/2025,3,W 8:00AM - 9:15AM,"Rider,Heather",,Hybrid,NA,"11/14/2025
50% distance, 50% in-person",16 of 25,Click for Details
MTH123,Technical Algebra & Trigonometry I,42,8/19/2025 to 12/4/2025,3,TR 6:00PM - 7:45PM,"Account,Test",,On Campus,NA,W/D 11/14/2025,14 of 22,Click for Details
BEM350,Bioterrorism,90,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Bjorkman,David",,Distance Learning,Fall Only,W/D 11/14/2025,8 of 10,Click for Details
